alpha,cl,cd,cm,ld,re,ncrit,cl_corrected,cd_original,cd_corrected,ld_corrected,mach_corrected
-5.000000,-0.219500,0.006800,-0.080600,-32.279412,3600000.000000,6.000000,-0.325148,0.006800,0.006800,-47.815885,0.750000
-4.850000,-0.202100,0.006740,-0.080600,-29.985163,3600000.000000,6.000000,-0.299373,0.006740,0.006740,-44.417387,0.750000
-4.700000,-0.184700,0.006690,-0.080700,-27.608371,3600000.000000,6.000000,-0.273598,0.006690,0.006690,-40.896615,0.750000
-4.550000,-0.167400,0.006620,-0.080800,-25.287009,3600000.000000,6.000000,-0.247972,0.006620,0.006620,-37.457954,0.750000
-4.400000,-0.150000,0.006510,-0.080900,-23.041475,3600000.000000,6.000000,-0.222197,0.006510,0.006510,-34.131617,0.750000
-4.250000,-0.132500,0.006420,-0.081000,-20.638629,3600000.000000,6.000000,-0.196274,0.006420,0.006420,-30.572253,0.750000
-4.100000,-0.115100,0.006350,-0.081100,-18.125984,3600000.000000,6.000000,-0.170499,0.006350,0.006350,-26.850241,0.750000
-3.950000,-0.097800,0.006300,-0.081200,-15.523810,3600000.000000,6.000000,-0.144872,0.006300,0.006300,-22.995608,0.750000
-3.800000,-0.080300,0.006240,-0.081300,-12.868590,3600000.000000,6.000000,-0.118949,0.006240,0.006240,-19.062398,0.750000
-3.650000,-0.062800,0.006180,-0.081400,-10.161812,3600000.000000,6.000000,-0.093026,0.006180,0.006180,-15.052816,0.750000
-3.500000,-0.045300,0.006130,-0.081500,-7.389886,3600000.000000,6.000000,-0.067103,0.006130,0.006130,-10.946728,0.750000
-3.350000,-0.027900,0.006090,-0.081600,-4.581281,3600000.000000,6.000000,-0.041329,0.006090,0.006090,-6.786307,0.750000
-3.200000,-0.010500,0.006050,-0.081800,-1.735537,3600000.000000,6.000000,-0.015554,0.006050,0.006050,-2.570872,0.750000
-3.050000,0.007100,0.006000,-0.081900,1.183333,3600000.000000,6.000000,0.010517,0.006000,0.006000,1.752886,0.750000
-2.900000,0.024600,0.005950,-0.082000,4.134454,3600000.000000,6.000000,0.036440,0.005950,0.005950,6.124417,0.750000
-2.750000,0.042000,0.005900,-0.082100,7.118644,3600000.000000,6.000000,0.062215,0.005900,0.005900,10.544934,0.750000
-2.600000,0.059400,0.005860,-0.082300,10.136519,3600000.000000,6.000000,0.087990,0.005860,0.005860,15.015349,0.750000
-2.450000,0.077000,0.005810,-0.082400,13.253012,3600000.000000,6.000000,0.114061,0.005810,0.005810,19.631848,0.750000
-2.300000,0.094500,0.005780,-0.082500,16.349481,3600000.000000,6.000000,0.139984,0.005780,0.005780,24.218685,0.750000
-2.150000,0.112000,0.005750,-0.082700,19.478261,3600000.000000,6.000000,0.165907,0.005750,0.005750,28.853385,0.750000
-2.000000,0.129400,0.005730,-0.082800,22.582897,3600000.000000,6.000000,0.191682,0.005730,0.005730,33.452320,0.750000
-1.850000,0.147000,0.005690,-0.082900,25.834798,3600000.000000,6.000000,0.217753,0.005690,0.005690,38.269400,0.750000
-1.700000,0.164500,0.005640,-0.083100,29.166667,3600000.000000,6.000000,0.243676,0.005640,0.005640,43.204938,0.750000
-1.550000,0.182000,0.005620,-0.083200,32.384342,3600000.000000,6.000000,0.269599,0.005620,0.005620,47.971319,0.750000
-1.400000,0.199400,0.005590,-0.083400,35.670841,3600000.000000,6.000000,0.295374,0.005590,0.005590,52.839650,0.750000
-1.250000,0.216900,0.005540,-0.083500,39.151625,3600000.000000,6.000000,0.321297,0.005540,0.005540,57.995778,0.750000
-1.100000,0.234500,0.005430,-0.083700,43.186004,3600000.000000,6.000000,0.347368,0.005430,0.005430,63.971952,0.750000
-0.950000,0.252000,0.005290,-0.084000,47.637051,3600000.000000,6.000000,0.373291,0.005290,0.005290,70.565343,0.750000
-0.800000,0.269500,0.005110,-0.084300,52.739726,3600000.000000,6.000000,0.399214,0.005110,0.005110,78.123997,0.750000
-0.650000,0.286900,0.004930,-0.084500,58.194726,3600000.000000,6.000000,0.424988,0.004930,0.004930,86.204555,0.750000
-0.500000,0.304500,0.004640,-0.084900,65.625000,3600000.000000,6.000000,0.451060,0.004640,0.004640,97.211110,0.750000
-0.350000,0.321900,0.004360,-0.085300,73.830275,3600000.000000,6.000000,0.476834,0.004360,0.004360,109.365684,0.750000
-0.200000,0.339200,0.004150,-0.085600,81.734940,3600000.000000,6.000000,0.502461,0.004150,0.004150,121.074960,0.750000
-0.050000,0.356700,0.004070,-0.085800,87.641278,3600000.000000,6.000000,0.528384,0.004070,0.004070,129.824090,0.750000
0.100000,0.374000,0.004060,-0.086000,92.118227,3600000.000000,6.000000,0.554011,0.004060,0.004060,136.455849,0.750000
0.250000,0.391200,0.004040,-0.086100,96.831683,3600000.000000,6.000000,0.579489,0.004040,0.004040,143.437950,0.750000
0.400000,0.408300,0.004060,-0.086200,100.566502,3600000.000000,6.000000,0.604820,0.004060,0.004060,148.970383,0.750000
0.550000,0.425600,0.004080,-0.086300,104.313725,3600000.000000,6.000000,0.630446,0.004080,0.004080,154.521190,0.750000
0.700000,0.442600,0.004130,-0.086300,107.167070,3600000.000000,6.000000,0.655629,0.004130,0.004130,158.747884,0.750000
0.850000,0.459500,0.004200,-0.086300,109.404762,3600000.000000,6.000000,0.680663,0.004200,0.004200,162.062604,0.750000
1.000000,0.476300,0.004280,-0.086400,111.285047,3600000.000000,6.000000,0.705549,0.004280,0.004280,164.847893,0.750000
1.150000,0.492400,0.004430,-0.086300,111.151242,3600000.000000,6.000000,0.729398,0.004430,0.004430,164.649686,0.750000
1.300000,0.506400,0.004800,-0.085800,105.500000,3600000.000000,6.000000,0.750136,0.004800,0.004800,156.278433,0.750000
1.450000,0.519500,0.005260,-0.085300,98.764259,3600000.000000,6.000000,0.769542,0.005260,0.005260,146.300697,0.750000
1.600000,0.534300,0.005560,-0.085000,96.097122,3600000.000000,6.000000,0.791465,0.005560,0.005560,142.349836,0.750000
1.750000,0.548600,0.005930,-0.084600,92.512648,3600000.000000,6.000000,0.812648,0.005930,0.005930,137.040110,0.750000
1.900000,0.562500,0.006330,-0.084200,88.862559,3600000.000000,6.000000,0.833238,0.006330,0.006330,131.633190,0.750000
2.050000,0.577200,0.006650,-0.083900,86.796992,3600000.000000,6.000000,0.855013,0.006650,0.006650,128.573440,0.750000
2.200000,0.593000,0.006860,-0.083700,86.443149,3600000.000000,6.000000,0.878418,0.006860,0.006860,128.049287,0.750000
2.350000,0.609000,0.007040,-0.083600,86.505682,3600000.000000,6.000000,0.902119,0.007040,0.007040,128.141918,0.750000
2.500000,0.624900,0.007220,-0.083500,86.551247,3600000.000000,6.000000,0.925672,0.007220,0.007220,128.209414,0.750000
2.650000,0.640900,0.007390,-0.083300,86.725304,3600000.000000,6.000000,0.949373,0.007390,0.007390,128.467248,0.750000
2.800000,0.657800,0.007470,-0.083300,88.058902,3600000.000000,6.000000,0.974407,0.007470,0.007470,130.442723,0.750000
2.950000,0.674600,0.007560,-0.083300,89.232804,3600000.000000,6.000000,0.999293,0.007560,0.007560,132.181638,0.750000
3.100000,0.691400,0.007640,-0.083300,90.497382,3600000.000000,6.000000,1.024179,0.007640,0.007640,134.054873,0.750000
3.250000,0.708300,0.007710,-0.083400,91.867704,3600000.000000,6.000000,1.049213,0.007710,0.007710,136.084747,0.750000
3.400000,0.725200,0.007780,-0.083400,93.213368,3600000.000000,6.000000,1.074248,0.007780,0.007780,138.078095,0.750000
3.700000,0.758800,0.007940,-0.083300,95.566751,3600000.000000,6.000000,1.124020,0.007940,0.007940,141.564190,0.750000
3.850000,0.775300,0.008040,-0.083300,96.430348,3600000.000000,6.000000,1.148461,0.008040,0.008040,142.843447,0.750000
4.000000,0.792000,0.008140,-0.083200,97.297297,3600000.000000,6.000000,1.173199,0.008140,0.008140,144.127670,0.750000
4.150000,0.808700,0.008230,-0.083200,98.262454,3600000.000000,6.000000,1.197937,0.008230,0.008230,145.557369,0.750000
4.300000,0.825200,0.008330,-0.083100,99.063625,3600000.000000,6.000000,1.222379,0.008330,0.008330,146.744153,0.750000
4.450000,0.841600,0.008450,-0.083000,99.597633,3600000.000000,6.000000,1.246672,0.008450,0.008450,147.535185,0.750000
4.600000,0.858100,0.008560,-0.083000,100.245327,3600000.000000,6.000000,1.271114,0.008560,0.008560,148.494622,0.750000
4.750000,0.874700,0.008660,-0.082900,101.004619,3600000.000000,6.000000,1.295704,0.008660,0.008660,149.619370,0.750000
4.900000,0.891200,0.008760,-0.082800,101.735160,3600000.000000,6.000000,1.320145,0.008760,0.008760,150.701529,0.750000
5.050000,0.907600,0.008860,-0.082700,102.437923,3600000.000000,6.000000,1.344439,0.008860,0.008860,151.742541,0.750000
5.200000,0.924000,0.008980,-0.082600,102.895323,3600000.000000,6.000000,1.368732,0.008980,0.008980,152.420093,0.750000
5.350000,0.940300,0.009100,-0.082500,103.329670,3600000.000000,6.000000,1.392878,0.009100,0.009100,153.063497,0.750000
5.500000,0.956600,0.009220,-0.082300,103.752711,3600000.000000,6.000000,1.417023,0.009220,0.009220,153.690153,0.750000
5.650000,0.972800,0.009350,-0.082200,104.042781,3600000.000000,6.000000,1.441020,0.009350,0.009350,154.119836,0.750000
5.800000,0.988900,0.009480,-0.082000,104.314346,3600000.000000,6.000000,1.464870,0.009480,0.009480,154.522109,0.750000
5.950000,1.005100,0.009610,-0.081800,104.588970,3600000.000000,6.000000,1.488867,0.009610,0.009610,154.928913,0.750000
6.100000,1.021000,0.009760,-0.081600,104.610656,3600000.000000,6.000000,1.512420,0.009760,0.009760,154.961036,0.750000
6.250000,1.036900,0.009910,-0.081400,104.631685,3600000.000000,6.000000,1.535973,0.009910,0.009910,154.992188,0.750000
6.400000,1.052600,0.010080,-0.081100,104.424603,3600000.000000,6.000000,1.559229,0.010080,0.010080,154.685434,0.750000
6.550000,1.068200,0.010270,-0.080800,104.011685,3600000.000000,6.000000,1.582338,0.010270,0.010270,154.073773,0.750000
6.700000,1.083200,0.010510,-0.080400,103.063749,3600000.000000,6.000000,1.604557,0.010510,0.010510,152.669584,0.750000
6.850000,1.099100,0.010650,-0.080200,103.201878,3600000.000000,6.000000,1.628110,0.010650,0.010650,152.874197,0.750000
7.000000,1.114800,0.010800,-0.080000,103.222222,3600000.000000,6.000000,1.651367,0.010800,0.010800,152.904333,0.750000
7.150000,1.130900,0.010920,-0.079800,103.562271,3600000.000000,6.000000,1.675216,0.010920,0.010920,153.408051,0.750000
7.300000,1.146700,0.011060,-0.079500,103.679928,3600000.000000,6.000000,1.698621,0.011060,0.011060,153.582338,0.750000
7.450000,1.162100,0.011230,-0.079200,103.481745,3600000.000000,6.000000,1.721433,0.011230,0.011230,153.288768,0.750000
7.600000,1.177600,0.011400,-0.078900,103.298246,3600000.000000,6.000000,1.744393,0.011400,0.011400,153.016947,0.750000
7.750000,1.192900,0.011580,-0.078600,103.013817,3600000.000000,6.000000,1.767057,0.011580,0.011580,152.595620,0.750000
7.900000,1.208100,0.011770,-0.078200,102.642311,3600000.000000,6.000000,1.789573,0.011770,0.011770,152.045303,0.750000
8.050000,1.223300,0.011950,-0.077800,102.368201,3600000.000000,6.000000,1.812089,0.011950,0.011950,151.639261,0.750000
8.200000,1.238500,0.012120,-0.077500,102.186469,3600000.000000,6.000000,1.834605,0.012120,0.012120,151.370059,0.750000
8.350000,1.253500,0.012310,-0.077000,101.827782,3600000.000000,6.000000,1.856825,0.012310,0.012310,150.838732,0.750000
8.500000,1.268500,0.012490,-0.076600,101.561249,3600000.000000,6.000000,1.879044,0.012490,0.012490,150.443913,0.750000
8.650000,1.283200,0.012680,-0.076200,101.198738,3600000.000000,6.000000,1.900820,0.012680,0.012680,149.906921,0.750000
8.800000,1.297700,0.012890,-0.075600,100.674942,3600000.000000,6.000000,1.922299,0.012890,0.012890,149.131015,0.750000
8.950000,1.311800,0.013110,-0.075100,100.061022,3600000.000000,6.000000,1.943185,0.013110,0.013110,148.221609,0.750000
9.100000,1.325600,0.013370,-0.074400,99.147345,3600000.000000,6.000000,1.963627,0.013370,0.013370,146.868167,0.750000
9.250000,1.338500,0.013680,-0.073600,97.843567,3600000.000000,6.000000,1.982736,0.013680,0.013680,144.936866,0.750000
9.400000,1.351400,0.014000,-0.072800,96.528571,3600000.000000,6.000000,2.001845,0.014000,0.014000,142.988947,0.750000
9.550000,1.365000,0.014190,-0.072100,96.194503,3600000.000000,6.000000,2.021991,0.014190,0.014190,142.494087,0.750000
9.700000,1.377900,0.014400,-0.071300,95.687500,3600000.000000,6.000000,2.041100,0.014400,0.014400,141.743057,0.750000
9.850000,1.389000,0.014580,-0.070000,95.267490,3600000.000000,6.000000,2.057543,0.014580,0.014580,141.120891,0.750000
10.150000,1.417200,0.015020,-0.068900,94.354194,3600000.000000,6.000000,2.099316,0.015020,0.015020,139.768015,0.750000
10.300000,1.430800,0.015280,-0.068300,93.638743,3600000.000000,6.000000,2.119461,0.015280,0.015280,138.708209,0.750000
10.450000,1.444500,0.015530,-0.067600,93.013522,3600000.000000,6.000000,2.139755,0.015530,0.015530,137.782061,0.750000
10.600000,1.457700,0.015810,-0.066900,92.201139,3600000.000000,6.000000,2.159309,0.015810,0.015810,136.578668,0.750000
10.750000,1.470500,0.016110,-0.066200,91.278709,3600000.000000,6.000000,2.178270,0.016110,0.016110,135.212261,0.750000
10.900000,1.482700,0.016460,-0.065300,90.078979,3600000.000000,6.000000,2.196342,0.016460,0.016460,133.435087,0.750000
11.050000,1.494200,0.016840,-0.064300,88.729216,3600000.000000,6.000000,2.213377,0.016840,0.016840,131.435667,0.750000
11.200000,1.505300,0.017210,-0.063300,87.466589,3600000.000000,6.000000,2.229819,0.017210,0.017210,129.565322,0.750000
11.350000,1.515000,0.017590,-0.061900,86.128482,3600000.000000,6.000000,2.244188,0.017590,0.017590,127.583168,0.750000
11.500000,1.523800,0.017970,-0.060500,84.796884,3600000.000000,6.000000,2.257223,0.017970,0.017970,125.610655,0.750000
11.650000,1.532200,0.018380,-0.058900,83.362350,3600000.000000,6.000000,2.269666,0.018380,0.018380,123.485663,0.750000
11.800000,1.540300,0.018820,-0.057400,81.843783,3600000.000000,6.000000,2.281665,0.018820,0.018820,121.236191,0.750000
11.950000,1.548200,0.019270,-0.055900,80.342501,3600000.000000,6.000000,2.293367,0.019270,0.019270,119.012324,0.750000
12.100000,1.555700,0.019770,-0.054400,78.689934,3600000.000000,6.000000,2.304477,0.019770,0.019770,116.564356,0.750000
12.250000,1.562900,0.020300,-0.052800,76.990148,3600000.000000,6.000000,2.315143,0.020300,0.020300,114.046442,0.750000
12.400000,1.569400,0.020890,-0.051300,75.126855,3600000.000000,6.000000,2.324771,0.020890,0.020890,111.286324,0.750000
12.550000,1.575700,0.021530,-0.049700,73.186252,3600000.000000,6.000000,2.334104,0.021530,0.021530,108.411685,0.750000
12.700000,1.581500,0.022200,-0.048100,71.238739,3600000.000000,6.000000,2.342695,0.022200,0.022200,105.526810,0.750000
12.850000,1.586800,0.022950,-0.046600,69.141612,3600000.000000,6.000000,2.350546,0.022950,0.022950,102.420311,0.750000
13.000000,1.592200,0.023680,-0.045100,67.238176,3600000.000000,6.000000,2.358545,0.023680,0.023680,99.600727,0.750000
13.150000,1.597600,0.024420,-0.043600,65.421785,3600000.000000,6.000000,2.366544,0.024420,0.024420,96.910086,0.750000
13.300000,1.602100,0.025260,-0.042200,63.424386,3600000.000000,6.000000,2.373210,0.025260,0.025260,93.951315,0.750000
13.450000,1.607000,0.026060,-0.040800,61.665388,3600000.000000,6.000000,2.380469,0.026060,0.026060,91.345688,0.750000
13.600000,1.610800,0.026980,-0.039300,59.703484,3600000.000000,6.000000,2.386098,0.026980,0.026980,88.439497,0.750000
13.750000,1.613700,0.027990,-0.037900,57.652733,3600000.000000,6.000000,2.390393,0.027990,0.027990,85.401695,0.750000
13.900000,1.616200,0.029040,-0.036500,55.654270,3600000.000000,6.000000,2.394097,0.029040,0.029040,82.441347,0.750000
14.050000,1.618700,0.030120,-0.035200,53.741700,3600000.000000,6.000000,2.397800,0.030120,0.030120,79.608233,0.750000
14.200000,1.620000,0.031330,-0.033900,51.707628,3600000.000000,6.000000,2.399726,0.031330,0.031330,76.595139,0.750000
14.350000,1.620400,0.032630,-0.032700,49.659822,3600000.000000,6.000000,2.400318,0.032630,0.032630,73.561699,0.750000
14.500000,1.620300,0.034010,-0.031500,47.641870,3600000.000000,6.000000,2.400170,0.034010,0.034010,70.572481,0.750000
14.650000,1.619000,0.035530,-0.030300,45.567126,3600000.000000,6.000000,2.398244,0.035530,0.035530,67.499138,0.750000
14.800000,1.617300,0.037130,-0.029200,43.557770,3600000.000000,6.000000,2.395726,0.037130,0.037130,64.522654,0.750000
14.950000,1.614700,0.038850,-0.028300,41.562420,3600000.000000,6.000000,2.391875,0.038850,0.038850,61.566917,0.750000
15.100000,1.610800,0.040760,-0.027400,39.519136,3600000.000000,6.000000,2.386098,0.040760,0.040760,58.540177,0.750000
15.250000,1.606000,0.042790,-0.026700,37.532134,3600000.000000,6.000000,2.378987,0.042790,0.042790,55.596806,0.750000
15.400000,1.600400,0.044970,-0.026100,35.588170,3600000.000000,6.000000,2.370692,0.044970,0.044970,52.717189,0.750000
15.550000,1.594300,0.047280,-0.025700,33.720389,3600000.000000,6.000000,2.361656,0.047280,0.047280,49.950423,0.750000
15.700000,1.587500,0.049740,-0.025400,31.915963,3600000.000000,6.000000,2.351583,0.049740,0.049740,47.277504,0.750000
15.850000,1.577700,0.052620,-0.025400,29.982896,3600000.000000,6.000000,2.337066,0.052620,0.052620,44.414029,0.750000
16.000000,1.570400,0.055320,-0.025600,28.387563,3600000.000000,6.000000,2.326253,0.055320,0.055320,42.050843,0.750000
16.150000,1.560900,0.058410,-0.026000,26.723164,3600000.000000,6.000000,2.312180,0.058410,0.058410,39.585348,0.750000
16.300000,1.549500,0.061900,-0.026800,25.032310,3600000.000000,6.000000,2.295293,0.061900,0.061900,37.080665,0.750000
16.450000,1.538800,0.065390,-0.027800,23.532650,3600000.000000,6.000000,2.279443,0.065390,0.065390,34.859201,0.750000
16.600000,1.527000,0.069250,-0.029100,22.050542,3600000.000000,6.000000,2.261964,0.069250,0.069250,32.663735,0.750000
16.750000,1.514500,0.073380,-0.030800,20.639139,3600000.000000,6.000000,2.243447,0.073380,0.073380,30.573007,0.750000
16.900000,1.501100,0.077870,-0.032800,19.277000,3600000.000000,6.000000,2.223598,0.077870,0.077870,28.555255,0.750000
17.050000,1.486200,0.082810,-0.035300,17.947108,3600000.000000,6.000000,2.201526,0.082810,0.082810,26.585269,0.750000
17.200000,1.472600,0.087790,-0.038100,16.774120,3600000.000000,6.000000,2.181380,0.087790,0.087790,24.847708,0.750000
17.350000,1.458700,0.093090,-0.041200,15.669782,3600000.000000,6.000000,2.160790,0.093090,0.093090,23.211839,0.750000
17.500000,1.442900,0.099070,-0.045000,14.564449,3600000.000000,6.000000,2.137385,0.099070,0.099070,21.574496,0.750000
17.650000,1.425400,0.105720,-0.049300,13.482785,3600000.000000,6.000000,2.111462,0.105720,0.105720,19.972213,0.750000
17.800000,1.408500,0.112550,-0.053900,12.514438,3600000.000000,6.000000,2.086428,0.112550,0.112550,18.537789,0.750000
17.950000,1.388400,0.120480,-0.059300,11.523904,3600000.000000,6.000000,2.056654,0.120480,0.120480,17.070500,0.750000
18.100000,1.364600,0.129680,-0.065500,10.522825,3600000.000000,6.000000,2.021399,0.129680,0.129680,15.587589,0.750000
18.700000,1.054500,0.241190,-0.132200,4.372072,3600000.000000,6.000000,1.562044,0.241190,0.241190,6.476403,0.750000
18.850000,1.056800,0.244790,-0.134200,4.317170,3600000.000000,6.000000,1.565451,0.244790,0.244790,6.395076,0.750000
19.000000,1.059700,0.248090,-0.136000,4.271434,3600000.000000,6.000000,1.569746,0.248090,0.248090,6.327327,0.750000
19.150000,1.063100,0.251090,-0.137800,4.233940,3600000.000000,6.000000,1.574783,0.251090,0.251090,6.271787,0.750000
19.300000,1.066700,0.253940,-0.139500,4.200599,3600000.000000,6.000000,1.580116,0.253940,0.253940,6.222398,0.750000
19.450000,1.069900,0.257150,-0.141300,4.160607,3600000.000000,6.000000,1.584856,0.257150,0.257150,6.163157,0.750000
19.600000,1.074400,0.259370,-0.142800,4.142345,3600000.000000,6.000000,1.591522,0.259370,0.259370,6.136106,0.750000
19.750000,1.078400,0.261930,-0.144400,4.117131,3600000.000000,6.000000,1.597447,0.261930,0.261930,6.098756,0.750000
19.900000,1.082700,0.264300,-0.145900,4.096481,3600000.000000,6.000000,1.603817,0.264300,0.264300,6.068168,0.750000
20.050000,1.087100,0.266660,-0.147500,4.076727,3600000.000000,6.000000,1.610334,0.266660,0.266660,6.038905,0.750000
20.200000,1.091200,0.269220,-0.149100,4.053191,3600000.000000,6.000000,1.616408,0.269220,0.269220,6.004041,0.750000
20.350000,1.093800,0.273230,-0.151100,4.003221,3600000.000000,6.000000,1.620259,0.273230,0.273230,5.930020,0.750000
20.500000,1.097800,0.276000,-0.152800,3.977536,3600000.000000,6.000000,1.626184,0.276000,0.276000,5.891973,0.750000
20.650000,1.102100,0.278810,-0.154400,3.952871,3600000.000000,6.000000,1.632554,0.278810,0.278810,5.855436,0.750000
20.800000,1.105900,0.281970,-0.156200,3.922048,3600000.000000,6.000000,1.638183,0.281970,0.281970,5.809778,0.750000
20.950000,1.109900,0.285210,-0.157900,3.891519,3600000.000000,6.000000,1.644108,0.285210,0.285210,5.764554,0.750000
21.100000,1.114200,0.288110,-0.159500,3.867273,3600000.000000,6.000000,1.650478,0.288110,0.288110,5.728638,0.750000
21.250000,1.118400,0.291070,-0.161200,3.842375,3600000.000000,6.000000,1.656700,0.291070,0.291070,5.691756,0.750000
21.400000,1.122900,0.293750,-0.162800,3.822638,3600000.000000,6.000000,1.663365,0.293750,0.293750,5.662521,0.750000
21.550000,1.127400,0.296350,-0.164300,3.804285,3600000.000000,6.000000,1.670031,0.296350,0.296350,5.635334,0.750000
21.700000,1.132000,0.298940,-0.165900,3.786713,3600000.000000,6.000000,1.676845,0.298940,0.298940,5.609304,0.750000
21.850000,1.136600,0.301290,-0.167400,3.772445,3600000.000000,6.000000,1.683659,0.301290,0.301290,5.588169,0.750000
22.000000,1.141100,0.303780,-0.168900,3.756337,3600000.000000,6.000000,1.690325,0.303780,0.303780,5.564307,0.750000
22.150000,1.145800,0.306190,-0.170500,3.742121,3600000.000000,6.000000,1.697287,0.306190,0.306190,5.543249,0.750000
22.300000,1.150400,0.308500,-0.172000,3.729011,3600000.000000,6.000000,1.704102,0.308500,0.308500,5.523830,0.750000
22.450000,1.155100,0.310720,-0.173500,3.717495,3600000.000000,6.000000,1.711064,0.310720,0.310720,5.506770,0.750000
22.600000,1.159700,0.312890,-0.175000,3.706414,3600000.000000,6.000000,1.717878,0.312890,0.312890,5.490357,0.750000
22.750000,1.164400,0.315070,-0.176500,3.695687,3600000.000000,6.000000,1.724840,0.315070,0.315070,5.474466,0.750000
22.900000,1.169100,0.317200,-0.178000,3.685687,3600000.000000,6.000000,1.731802,0.317200,0.317200,5.459653,0.750000
23.050000,1.173700,0.319110,-0.179400,3.678042,3600000.000000,6.000000,1.738616,0.319110,0.319110,5.448328,0.750000
